source,author,title,description,content,url,published_at
Www.vg.no,Isak Løve Pilskog Loe,FBI: Mohamed Sabry Soliman siktet for hatkriminalitet,Åtte personer ble skadet da en mann kastet brannbomber mot en gruppe som støttet israelske gisler i Gaza.,"FBI sier han hadde planlagt angrepet i ett år.
Mohamed Sabry Soliman (45) hadde med seg minst 14 ubrukte molotovcocktails da han ble pågrepet etter angrepet i Boulder, Colorado søndag. Blant de skad… [+3501 chars]",https://www.vg.no/nyheter/i/Xj0WX7/fbi-mohamed-sabry-soliman-siktet-for-hatkriminalitet,2025-06-02 18:22:24+00:00
Eldiario.es,Andrés Gil,Acusado de delito de odio el detenido por el ataque a una marcha en Colorado por los rehenes de Hamás,"El sospechoso, Mohammed Sabry Soliman, de 45 años, declaró a la policía que llevaba un año planeando el ataque y que eligió como objetivo lo que describió como el “grupo sionista”, según el FBI
Un detenido y ocho heridos tras un ataque en Colorado, calificad…",Acusado de delito de odio el hombre detenido por atacar con un lanzallamas casero a manifestantes en Colorado que pedían la liberación de los rehenes en manos de Hamás desde el 7 de octubre de 2023. … [+3011 chars],https://www.eldiario.es/internacional/acusado-delito-odio-detenido-ataque-marcha-colorado-rehenes-hamas_1_12350809.html,2025-06-02 18:18:48+00:00
Expresso.pt,BLITZ,"Bono foi ao podcast de Joe Rogan criticar os cortes de Elon Musk à ajuda humanitária: “És um mentiroso e um idiota”, respondeu o magnata","<p>Bono, vocalista dos U2, foi recentemente convidado do podcast de Joe Rogan, tendo aí criticado os cortes à USAID, agência governamental norte-americana de ajuda humanitária: Elon Musk não gostou</p>","Bono passou recentemente pelo podcast de Joe Rogan para promover o seu novo documentário, Stories of Surrender, tendo deixado críticas ao novo governo de Donald Trump e, sobretudo, a Elon Musk.
Os a… [+973 chars]",https://expresso.pt/blitz/2025-06-02-bono-foi-ao-podcast-de-joe-rogan-criticar-os-cortes-de-elon-musk-a-ajuda-humanitaria-es-um-mentiroso-e-um-idiota-respondeu-o-magnata-a142c990,2025-06-02 18:09:38+00:00
TheJournal.ie,Press Association,Suspect in Colorado flamethrower attack told police he targeted ‘Zionist group’,An FBI affidavit says Mohammed Sabry Soliman confessed to the attack after being taken into custody on Sunday.,"LAST UPDATE|20 mins ago
A MAN ACCUSED of using a makeshift flamethrower and an incendiary device to attack a US group bringing attention to Israeli hostages in Gaza has been charged with a federal h… [+5691 chars]",https://www.thejournal.ie/colorado-flamethrower-attack-israel-6721553-Jun2025/,2025-06-02 18:05:00+00:00
Legalinsurrection.com,Mary Chastain,‘Kill All Zionist People’: Colorado Terror Suspect Charged With Federal Hate Crime,"The two charges recommend a a maximum of 10 years in prison.
The post ‘Kill All Zionist People’: Colorado Terror Suspect Charged With Federal Hate Crime first appeared on Le·gal In·sur·rec·tion.","The FBI charged Mohamed Sabry Soliman with a federal hate crime following the terror attack on a pro-Israel group in Boulder, CO.
The charging documents recommended charging Saliman for violating 18… [+4180 chars]",https://legalinsurrection.com/2025/06/fbi-charges-colorado-terror-suspect-soliman-with-federal-hate-crime/,2025-06-02 18:04:59+00:00
Xataka.com,Alba Otero,"Hay una tercera vía entre comer carne y el vegetarianismo: se llama ""pescetarismo"" y la infanta Cristina ya lo practica","Dejar la carne de un día para otro para hacerse vegetariano no es sencillo, sobre todo cuando culturalmente la carne está tan integrada. Cambiar eso implica mucho más que tachar un ingrediente del plato. Por eso, para muchas personas, dar el salto hacia una a…","Dejar la carne de un día para otro para hacerse vegetariano no es sencillo, sobre todo cuando culturalmente la carne está tan integrada. Cambiar eso implica mucho más que tachar un ingrediente del pl… [+3211 chars]",https://www.xataka.com/medicina-y-salud/infanta-cristina-ha-dejado-carne-no-sushi-asi-auge-pescetarismo,2025-06-02 18:01:49+00:00
EURACTIV,Jasper Steinlein,Germany puts shrunken development aid budget to the test,"Germany strives to reshape its development aid program into a system of mutual benefit deals amidst societal backlash, while it urgently needs development aid for its own goals.","With an anti-globalist backlash in parts of German society and wider budget concerns as the economy stagnates, the development aid sector is facing stiff headwinds. Federal minister Reem Alabali-Rado… [+4880 chars]",https://www.euractiv.com/section/economy-jobs/news/germany-puts-shrunken-development-aid-budget-to-the-test/,2025-06-02 17:43:47+00:00
New York Post,"Joe Marino, Chris Nesi","Boulder, Colorado firebomb madman hit with hate crime charges, said he plotted antisemitic attack on peaceful marchers for a year: feds","The suspect in Colorado’s horrific antisemitic firebombing planned the attack for more than a year and admitted to cops he wanted to kill Jews, the feds said Monday — as they hit him with hate-crime charges. Mohamed Sabry Soliman, 45, who was in the US illega…","The suspect in Colorados horrific antisemitic firebombing planned the attack for more than a year and admitted to cops he wanted to kill Jews, the feds said Monday as they hit him with hate-crime cha… [+3303 chars]",https://nypost.com/2025/06/02/us-news/boulder-colo-terror-suspect-mohamed-sabry-soliman-plotted-antisemitic-attack-for-1-year-feds/,2025-06-02 17:32:17+00:00
Fox News,Audrey Conklin,"Boulder terror attack suspect said he wanted to kill 'all Zionist people,' used Molotov cocktails: feds","Mohamed Sabry Soliman, an Egyptian man in the US illegally, charged with hate crime for Boulder attack using Molotov cocktails at a pro-Israel event, injuring eight.","Federal officials have charged Boulder, Colorado, terrorist attack suspect Mohamed Sabry Solamin with a hate crime involving actual or perceived race, religion, or national origin.
Soliman, 45, was … [+4352 chars]",https://www.foxnews.com/us/boulder-terror-attack-suspect-said-he-wanted-kill-all-zionist-people-used-molotov-cocktails-feds,2025-06-02 17:31:11+00:00
Freerepublic.com,Real Clear Politics,David Brooks Likens Musk to Pol Pot and Stalin: Being Responsible For The Deaths Of Millions Of People Will Be His Legacy,"DAVID BROOKS, NEW YORK TIMES: Yes, I'm not sure it was wreckage. There was wreckage if you're at NIH. There are wreckage at certain agencies, but the guy only saved $65 billion out of a multitrillion-dollar budget. So, as a budget matter, you would not say he…","Skip to comments.
David Brooks Likens Musk to Pol Pot and Stalin: Being Responsible For The Deaths Of Millions Of People Will Be His LegacyReal Clear Politics ^
 | 5/31/25
 | Ian Schwartz
Posted … [+6498 chars]",https://freerepublic.com/focus/f-chat/4320523/posts,2025-06-02 15:18:08+00:00
Conjur.com.br,Sem autor,American Bar Association pede apoio de advogados contra ataques de Trump,"O presidente da American Bar Association, William R. Bay, se manifestou nas redes sociais da instituição sobre os ataques recentes de Donald Trump contra a associação. A ABA, que funciona como a ordem dos advogados dos Estados Unidos, está sendo atacada por T…","O presidente da American Bar Association, William R. Bay, se manifestou nas redes sociais da instituição sobre os ataques recentes de Donald Trump contra a associação. A ABA, que funciona como a orde… [+2005 chars]",https://www.conjur.com.br/2025-jun-02/american-bar-association-pede-apoio-de-advogados-contra-ataques-de-trump/,2025-06-02 14:57:08+00:00
Globalresearch.ca,Dr. Jack Rasmus,"‘Twilight of American Imperialism’, Introductory Chapter. Dr. Jack Rasmus","There is an emerging debate whether the US Empire is about to collapse or in decline (or neither).
The post ‘Twilight of American Imperialism’, Introductory Chapter. Dr. Jack Rasmus appeared first on Global Research.","There is an emerging debate whether the US Empire is about to collapse or in decline (or neither). In my forthcoming book, Twilight of American Imperialism, forthcoming this fall this debate is discu… [+61684 chars]",https://www.globalresearch.ca/intro-chapter-twilight-american-imperialism/5889249,2025-06-02 14:46:16+00:00
Dianeravitch.net,dianeravitch,Heather Cox Richardson: Trump and Musk Are Destroying the Government,"Heather Cox Richardson demonstrates the negative effects of Elon Musk’s DOGS, which protected his interests and saved little, if any, money. With Trump’s “big, beautiful” tax plan, the deficit will increase by $4-5 trillion, so Musk’s chainsaw contributed not…","Heather Cox Richardson demonstrates the negative effects of Elon Musk’s DOGS, which protected his interests and saved little, if any, money. With Trump’s “big, beautiful” tax plan, the deficit will i… [+15126 chars]",https://dianeravitch.net/2025/06/02/heather-cox-richardson-trump-and-musk-are-destroying-the-government/,2025-06-02 14:00:00+00:00
Faz.net,Julian Staib,In Hamburg will man dem Erodieren der Hilfe etwas entgegensetzen,Selten waren die Zeiten für internationale Zusammenarbeit so schlecht wie heute. Auf der Hamburger Nachhaltigkeitskonferenz will man dem etwas entgegensetzen.,Der Rückzug der USA aus der internationalen Hilfe hat nach Angaben der neuen Entwicklungsministerin Reem Alabali-Radovan (SPD) lebensbedrohliche Folgen für viele Menschen weltweit. Vor dem Hintergrun… [+3043 chars],https://www.faz.net/aktuell/politik/inland/nachhaltigkeitskonferenz-in-hamburg-110512882.html,2025-06-02 13:20:40+00:00
Sky.com,Yousra Elbagir,Peaceful sanctuary for traumatised chimps threatened by illegal human land grab,There is a distinct moment when the tranquillity of the Tacugama Chimpanzee Sanctuary envelops our car as we drive higher up the mountain.,"There is a distinct moment when the tranquillity of the Tacugama Chimpanzee Sanctuary envelops our car as we drive higher up the mountain.
The buzz of Freetown gives way to the hushed calm of this p… [+6032 chars]",https://news.sky.com/story/famous-chimpanzee-sanctuary-faces-existential-threat-from-illegal-land-grab-13378202,2025-06-02 12:32:00+00:00
Globalresearch.ca,Dr. Paul Craig Roberts,Soon Truth Will be Too Costly to Tell. Paul C. Roberts,"June is upon us, and it is time for my quarterly appeal for support from the website’s readers.  
For 15 years this website has been providing alternative information to the concocted false narratives that disguise secret agendas. For example, 9/11 …
The post…","June is upon us, and it is time for my quarterly appeal for support from the websites readers.  
For 15 years this website has been providing alternative information to the concocted false narrative… [+6151 chars]",https://www.globalresearch.ca/soon-truth-too-costly-paul-c-roberts/5889186,2025-06-02 12:16:08+00:00
Libertaddigital.com,Andrea Echeverria,Del anime al reguetón: los nombres que ya aparecen en el registro civil español,"A la hora de escoger nombre, los padres prefieren algo más moderno y dejan atrás los compuestos y tradicionales que se usaban en el pasado.","El Instituto Nacional de Estadística (INE), ha lanzado este jueves la lista de los nombres más utilizados para los recién nacidos en España. El nombre femenino más popular es Lucía, mientras que entr… [+3220 chars]",https://www.libertaddigital.com/sociedad/2025-06-02/los-nombres-mas-populares-entre-los-recien-nacidos-son-lucia-y-hugo-7260185/,2025-06-02 11:02:09+00:00
The Cut,Danya Issawi,Tesla Drivers Know You’re Judging Them,"Driving a Tesla was once a status symbol. Now, thanks to Elon Musk going full MAGA alongside Donald Trump, it’s seen as cringe.","There are few more jarring sights in New York City than a Cybertruck. Their sharp corners and general air of menace are at odds with the citys other, more charming street trash. My friend Ali told me… [+9711 chars]",http://www.thecut.com/article/tesla-drivers-know-youre-judging-them.html,2025-06-02 11:00:22+00:00
TechCabal,Adonijah Ndege,Kenya plans to relocate health data from the US after USAID cuts,Kenya is preparing to move critical health data hosted in the United States following cuts to USAID funding by President Donald Trump.,Kenya is preparing to move critical health data currently hosted in the United States following President Donald Trump’s cuts to the United States Agency for International Development (USAID) funding… [+2866 chars],https://techcabal.com/2025/06/02/kenya-health-data-usaid-trump-funding/,2025-06-02 10:53:32+00:00
Eleconomista.es,elEconomista.es,"Adiós a Acracia o Frumencio y hola a Aizal o Usayd: estos son los nombres que llegan y que desaparecen en España, según el INE","María Carmen y Antonio son los nombres más frecuentes en España, mientras que Lucía y Alejandro son los más comunes si se tiene en cuenta solo a aquellos nacidos desde el año 2000, según los últimos datos del Instituto Nacional de Estadística (INE), publicado…","María Carmen y Antonio son los nombres más frecuentes en España, mientras que Lucía y Alejandro son los más comunes si se tiene en cuenta solo a aquellos nacidos desde el año 2000, según los últimos … [+2523 chars]",https://www.eleconomista.es/actualidad/noticias/13393968/06/25/adios-a-acracia-o-frumencio-y-hola-a-aizal-o-usayd-estos-son-los-nombres-que-llegan-y-que-desaparecen-en-espana-segun-el-ine.html,2025-06-02 10:28:32+00:00
Voxeurop.eu,f_barca,"Why Europe must support independent journalism in (and about) Ukraine, Belarus and Russia","Dekoder and RAAM, two specialised publications on Eastern Europe, have appealed to the European Union, urging it to provide effective support for threatened media outlets in those countries, particularly in light of the US's decision to cut off foreign aid.","Independent Russian and Belarusian media outlets, forced into exile, and Ukrainian media outlets, making an essential contribution to resistance against Russia's war of aggression and to upholding de… [+4196 chars]",https://voxeurop.eu/en/europe-support-independent-journalism-ukraine-belarus-russia/,2025-06-02 10:25:35+00:00
Activistpost.com,Editor,"BBC’s ‘independent’ Russian partner begged UK govt for funds, files show","Leaked documents show the supposedly self-reliant anti-Kremlin outlet Mediazona asked the UK gov’t for £300,000. With foreign funding drying up, the “independent” news site now faces financial crisis. Mediazona, the self-styled “independent” Russian outlet wh…","Mediazona, the self-styled independent Russian outlet which partners with the BBC to track the deaths of Russian troops, requested hundreds of thousands of pounds directly from the British government… [+12540 chars]",https://www.activistpost.com/bbcs-independent-russian-partner-begged-uk-govt-for-funds-files-show/,2025-06-02 10:00:00+00:00
Meneame.net,Yorga77,"El legado de Elon Musk es enfermedad, hambre y muerte","Hay una publicación de Elon Musk en X, su plataforma de medios sociales, que debería definir su legado. “Hemos pasado el fin de semana metiendo a USAID en la trituradora de madera”, escribió el 3 de febrero. Podría haber “ido a unas fiestas estupendas. En vez…","Por supuesto que se acordaran de el bueno en realidad de su madre y muertos. Bueno ahora en serio el Muskito lo único que a conseguido es que ahora los chalados del proyecto 2025, puedan hacer cualqu… [+147 chars]",https://www.meneame.net/m/politica/legado-elon-musk-enfermedad-hambre-muerte,2025-06-02 05:57:55+00:00
Common Dreams,Abby Zimet,A Receipt For Your Humanity: Actual Waste and Abuse,"Finally. This week the ""worst ultra-billionaire on earth,"" higher than any of his SpaceX rockets ever got, lurched to the end of his rampage through humane governance, leaving in his feckless, malignant wake unparalleled devastation - agencies ravaged, servic…","Finally. Last week, the ""worst ultra-billionaire on earth,"" higher than any of his SpaceX rockets ever got, lurched to the end of his rampage through humane governance, leaving in his feckless, malig… [+8386 chars]",https://www.commondreams.org/further/a-receipt-for-your-humanity-actual-waste-and-abuse,2025-06-02 05:16:51+00:00
STERN.de,STERN.de,Diplomatie: Ministerin Alabali-Radovan eröffnet Nachhaltigkeitskonferenz,"Bis 2030 soll kein Mensch mehr hungern müssen. Über die schwer erreichbaren Ziele der Weltgemeinschaft beratschlagen am Montag und Dienstag Politiker, Experten und Manager in Hamburg.","Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Bis 2030 soll kein Mensch mehr hungern müssen. Über die schwer erreichbaren Ziele der Weltgemeinschaft beratschlagen am Montag und Dienstag Polit… [+2601 chars]",https://www.stern.de/gesellschaft/regional/hamburg-schleswig-holstein/diplomatie--ministerin-alabali-radovan-eroeffnet-nachhaltigkeitskonferenz-35772844.html,2025-06-02 03:30:36+00:00
Die Zeit,ZEIT ONLINE: News -,Diplomatie: Ministerin Alabali-Radovan eröffnet Nachhaltigkeitskonferenz,Hier finden Sie Informationen zu dem Thema „Diplomatie“. Lesen Sie jetzt „Ministerin Alabali-Radovan eröffnet Nachhaltigkeitskonferenz“.,"Politiker, Vertreter internationaler Organisationen und Manager beratschlagen am Montag und Dienstag in Hamburg über das Erreichen der globalen Nachhaltigkeitsziele. Zur zweiten Hamburger Nachhaltigk… [+2685 chars]",https://www.zeit.de/news/2025-06/02/ministerin-alabali-radovan-eroeffnet-nachhaltigkeitskonferenz,2025-06-02 03:30:36+00:00
Www.nzz.ch,Samuel Misteli (smi),«Der Teufel kommt auch hierher zu euch»: Westliche Anti-LGBT-Aktivisten auf Mission in Afrika,Christliche Fundamentalisten aus den USA und Europa beeinflussen die Politik afrikanischer Länder seit langem. Dank dem amerikanischen Präsidenten Trump spüren sie Rückenwind. Eine Tagung in Kenya öffnet den Blick in bigotte Zirkel.,"Feindbild für die Gotteskrieger: Eine Pro-LGBT-Kundgebung in Kenyas Hauptstadt Nairobi.
Der Teufel hat hier viele Gestalten: Die Gender-Ideologie. Die Transgender-Bewegung. Feministinnen. Sexualaufk… [+12820 chars]",https://www.nzz.ch/international/anti-lgbt-konferenz-in-afrika-christliche-fundamentalisten-warnen-ld.1884628,2025-06-02 03:30:00+00:00
Fox News,David Spector,NY Times columnist compares Elon Musk to history’s worst murderers over USAID cuts,New York Times columnist David Brooks implied that Tesla CEO Elon Musk may belong on a list of history's greatest murderers after DOGE cuts allegedly led to hundreds of thousands of deaths.,"New York Times columnist David Brooks suggested Elon Musk belongs on a list of historys greatest mass murderers, including Pol Pot, Mao and Stalin due to DOGES cuts to USAID. 
""So far, 55,000 adults… [+3751 chars]",https://www.foxnews.com/media/ny-times-columnist-compares-elon-musk-historys-worst-murderers-over-usaid-cuts,2025-06-02 00:00:11+00:00
