source,title,description,text,url,keyword,published_date
The Conversation Africa,"When developing countries band together, lifesaving drugs become cheaper and easier to buy − with trade-offs",Pharmaceutical companies have little incentive to sell drugs to countries that can’t afford them. But bargaining together can increase access to vital treatments worldwide.,"Pooling procurement of drugs could increase the availability of essential treatments around the globe. narvo vexar/iStock via Getty Images Plus
Procuring lifesaving drugs is a daunting challenge in … [+8144 chars]",https://theconversation.com/when-developing-countries-band-together-lifesaving-drugs-become-cheaper-and-easier-to-buy-with-trade-offs-255383,usaid kenya,2025-06-17 12:34:40+00:00
PBS,How USAID cuts are impacting the fight against HIV in Kenya,"The Trump administration's cuts to the U.S. Agency for International Development have had reverberations around the world. The agency, which operated in over 100 nations and employed thousands of people, has been virtually eliminated. In partnership with the …","The Trump administration's cuts to the U.S. Agency for International Development have had reverberations around the world. The agency, which operated in over 100 nations and employed thousands of peo… [+175 chars]",https://www.pbs.org/newshour/show/how-usaid-cuts-are-impacting-the-fight-against-hiv-in-kenya,usaid kenya,2025-06-12 22:25:28+00:00
Chinadigitaltimes.net,"Polls Show Global Attitudes Towards China Improve, At Expense of U.S.",Numerous public opinion surveys from around the world have highlighted a significant shift in global attitudes towards China. Respondents from countries in both the Global South and Global North have expressed increasingly favorable views towards China and le…,Numerous public opinion surveys from around the world have highlighted a significant shift in global attitudes towards China. Respondents from countries in both the Global South and Global North have… [+7149 chars],https://chinadigitaltimes.net/?p=704247,usaid kenya,2025-06-12 06:35:07+00:00
Africasacountry.com,The end of AGOA,"On Wednesday, April 2, 2025, when President Donald Trump issued an executive order introducing reciprocal tariffs","A postmortem on the African Growth and Opportunities Act.



 
 
 Photo by Rosie Kerr on Unsplash
 
 





 
 On Wednesday, April 2, 2025, when President Donald Trump issued an executive order intro… [+10956 chars]",https://africasacountry.com/2025/06/the-end-of-agoa/,usaid kenya,2025-06-09 15:29:13+00:00
The Irish Times,"Concern Worldwide faces shutdown in some countries amid budget cuts, lost US funding",Irish international humanitarian agency says more jobs at risk,"Irish international aid agency Concern Worldwide has said that it will have to close its operations in some countries and introduce more staff redundancies as a result of budget cuts.
But it has sai… [+5025 chars]",https://www.irishtimes.com/ireland/2025/06/09/concern-faces-shutdown-in-some-countries-amid-budget-cuts-and-lost-us-funding/,usaid kenya,2025-06-09 05:00:00+00:00
Thenation.com,How Trump Is Transforming Higher Education: The View from 4 Campuses,"Steven Yoder, Felicia Mello, Alexandra Villarreal, Miles MacClure



At universities in California, Illinois, Louisiana, and Texas, students report changes to clubs, diminished research opportunities, and fears for international students’ safety.




The po…","At universities in California, Illinois, Louisiana, and Texas, students report changes to clubs, diminished research opportunities, and fears for international students safety.
Ad Policy
People wal… [+27298 chars]",https://www.thenation.com/article/society/trump-higher-education-california-illinois-louisiana-texas/,usaid kenya,2025-06-15 08:45:00+00:00
Africasacountry.com,Between Washington and Beijing,"Amid Trump’s tariffs, Africa faces trade disruptions, corporate power, and emerging partnerships in its quest to control its economic destiny.","Amid Trump’s tariffs, Africa faces trade disruptions, corporate power, and emerging partnerships in its quest to control its economic destiny.



 
 
 Port of Lagos, Nigeria. Image © Oussama Obeid vi… [+21739 chars]",https://africasacountry.com/2025/06/between-washington-and-beijing/,usaid kenya,2025-06-04 12:14:54+00:00
DW (English),Tanzania's crackdown on activists tests East African relations,Opposition activists from Kenya allege that they were detained and tortured in neighboring Tanzania. Leaders there don’t seem to like that cross-border economic cooperation has extended to human rights solidarity. An unusual request from the Kenyan president …,"An unusual request from the Kenyan president caused a stir at the end of May. ""To our neighbors from Tanzania, if we have wronged you in any way, forgive us,"" William Ruto told a delegation of Tanzan… [+5091 chars]",https://www.dw.com/en/tanzanias-crackdown-on-activists-tests-east-african-relations/a-72832572,usaid kenya,2025-06-07 19:45:00+00:00
DW (English),Bill Gates to give most of $200 billion fund to Africa,Bill Gates has urged African leaders to join him in advancing health and development on the continent. He says his foundation will partner with nations putting people's health first. US billionaire Bill Gates on Tuesday announced that the majority of his phil…,"US billionaire Bill Gates on Tuesday announced that the majority of his philanthropic Gates Foundation's $200 billion (175 billion) endowment will be spent in Africa over the next two decades.
Gates… [+4070 chars]",https://www.dw.com/en/bill-gates-to-give-most-of-200-billion-fund-to-africa/a-72769394,usaid kenya,2025-06-03 07:09:00+00:00
Lse.ac.uk,Is the managed migration of health workers “ethics washing” or something more?,"Many countries across the world struggle with the emigration of health workers. But do frameworks for ethically managing healthcare worker emigration make a real difference? Tine Hanrieder and Leon Janauschek … Continued
The post Is the managed migration of h…",Many countries across the world struggle with the emigration of health workers. But do frameworks for ethically managing healthcare worker emigration make a real difference? Tine HanriederandLeon Jan… [+8539 chars],https://blogs.lse.ac.uk/europpblog/2025/06/16/is-the-managed-migration-of-health-workers-ethics-washing-or-something-more/,usaid kenya,2025-06-16 08:31:59+00:00
Plos.org,Reimagining Antimicrobial Resistance (AMR) financing for Africa amid global funding crises,"By guest contributors Sherin Paul and Mirfin Mpundu Antimicrobial Resistance (AMR), a silent pandemic, widens health inequalities in Africa by disproportionately affecting the…
The post Reimagining Antimicrobial Resistance (AMR) financing for Africa amid glob…","By guest contributors Sherin Paul and Mirfin Mpundu
Antimicrobial Resistance (AMR), a silent pandemic, widens health inequalities in Africa by disproportionately affecting the most vulnerable popula… [+8587 chars]",https://speakingofmedicine.plos.org/2025/06/05/reimagining-antimicrobial-resistance-amr-financing-for-africa-amid-global-funding-crises/,usaid kenya,2025-06-05 20:02:02+00:00
TechCabal,Kenya plans to relocate health data from the US after USAID cuts,Kenya is preparing to move critical health data hosted in the United States following cuts to USAID funding by President Donald Trump.,Kenya is preparing to move critical health data currently hosted in the United States following President Donald Trump’s cuts to the United States Agency for International Development (USAID) funding… [+2866 chars],https://techcabal.com/2025/06/02/kenya-health-data-usaid-trump-funding/,usaid kenya,2025-06-02 10:53:32+00:00
UN News,"United Nations Selects Indigenous Social Worker from Canada, Kenyan Social Entrepreneur to Be Awarded 2025 UN Mandela Prize","The laureates of the 2025 United Nations Nelson Rolihlahla Mandela Prize are Brenda Reynolds, a social worker of Saulteaux heritage supporting the health and well-being of Indigenous communities in Canada, and Kennedy Odede, founder and CEO of Shining Hope fo…","The laureates of the 2025 United Nations Nelson Rolihlahla Mandela Prize are Brenda Reynolds, a social worker of Saulteaux heritage supporting the health and well-being of Indigenous communities in C… [+10472 chars]",https://press.un.org/en/2025/pi2330.doc.htm,usaid kenya,2025-05-28 16:00:16+00:00
Plos.org,Stakeholders’ perspectives on the status of family planning integration into differentiated antiretroviral therapy service delivery models in Uganda: A qualitative assessment,"Introduction Facility- and community-based differentiated antiretroviral therapy service delivery models (DSDM) for stable patients can offer a convenient platform for integrating self-care-oriented family planning (FP) services into HIV care. However, little…","Abstract
Introduction
Facility- and community-based differentiated antiretroviral therapy service delivery models (DSDM) for stable patients can offer a convenient platform for integrating self-car… [+71973 chars]",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0324616,usaid kenya,2025-05-22 14:00:00+00:00
Citizen.digital,Moses Obimbo: How village curiosity inspired a global health advocate,"In the heart of Masana,  a small village in Western Kenya, a young, curious man listened to the silent cries of families in the forgotten homes where mothers had died due to excessive bleeding during childbirth.","In the heart of Masana,  a small village in Western Kenya, a young, curious man listened to the silent cries of families in the forgotten homes where mothers had died due to excessive bleeding during… [+9341 chars]",https://www.citizen.digital/opinion-blogs/moses-obimbo-how-village-curiosity-inspired-a-global-health-advocate-n364518,usaid kenya,2025-06-12 15:27:17+00:00
Plos.org,Spatial distribution of stunting among breast feeding children in Sub-Sahara Africa,"Background Malnutrition is still a major global public health issue, especially in Sub-Saharan Africa (SSA), where millions of children suffer from stunting, a chronic form of the disease. In addition to limiting physical growth, stunting also impedes social …","Abstract
Background
Malnutrition is still a major global public health issue, especially in Sub-Saharan Africa (SSA), where millions of children suffer from stunting, a chronic form of the disease.… [+29854 chars]",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0325812,usaid kenya,2025-06-13 14:00:00+00:00
Plos.org,Integrating Nature-based Solutions for urban water security in global south,Nature-based solutions (NbS) leverage the power of ecosystems and biodiversity to address societal challenges. NbS for addressing water security challenges in cities are widely recognized for accelerating sustainability and delivering multiple co-benefits. Ho…,"Abstract
Nature-based solutions (NbS) leverage the power of ecosystems and biodiversity to address societal challenges. NbS for addressing water security challenges in cities are widely recognized f… [+64118 chars]",https://journals.plos.org/water/article?id=10.1371/journal.pwat.0000372,usaid kenya,2025-06-05 14:00:00+00:00
Inter Press Service,Funding Shortfalls Threaten Haiti’s Future,"The humanitarian situation in Haiti has deteriorated significantly in the recent weeks as rates of violence, hunger, and displacement soar amid a severe lack of funding. As armed gangs continue to seize more territory in the capital, Port-Au-Prince, as well a…","Climate Change, Crime &amp; Justice, Development &amp; Aid, Economy &amp; Trade, Food and Agriculture, Headlines, Health, Human Rights, Latin America &amp; the Caribbean, Migration &amp; Refugees, Te… [+6503 chars]",https://www.ipsnews.net/2025/05/funding-shortfalls-threaten-haitis-future/,usaid kenya,2025-05-29 09:45:24+00:00
Inter Press Service,Weaponizing Food Worsens Starvation,"Wars, economic shocks, planetary heating and aid cuts have worsened food crises in recent years, with almost 300 million people now threatened by starvation. Why hunger? World food production has increased almost fourfold since 1960. FAO statistics indicate e…","Armed Conflicts, Economy &amp; Trade, Environment, Food and Agriculture, Food Security and Nutrition, Food Sustainability, Food Systems, Global, Headlines, Inequality, Poverty &amp; SDGs, TerraViva U… [+5406 chars]",https://www.ipsnews.net/2025/06/weaponizing-food-worsens-starvation/,usaid kenya,2025-06-17 06:21:39+00:00
Yahoo Entertainment,US aid kept many hungry Somali children alive. Now that money is disappearing,The U.S. Agency for International Development once provided 65% of Somalia’s foreign aid. Now that funding is disappearing. The money had been crucial in a...,The U.S. Agency for International Development once provided 65% of Somalias foreign aid. Now that funding is disappearing. The money had been crucial in a country described as having one of the world… [+161 chars],https://www.yahoo.com/news/us-aid-kept-many-hungry-030123140.html,usaid funding,2025-05-27 03:01:23+00:00
Yahoo Entertainment,Elon Musk hits back at Bill Gates’ claim that DOGE cuts could lead to deaths of children: ‘I’d like him to show us any evidence’,Microsoft co-founder Bill Gates warned DOGE's cut to USAID could result in children's lives being endangered.,"<ul><li>Elon Musk rejected Bill Gates’s claim that the Department of Government Efficiency (DOGE) is endangering children’s lives by slashing USAID funding, calling Gates a liar and demanding evidenc… [+4209 chars]",https://www.yahoo.com/news/elon-musk-hits-back-bill-110022996.html,usaid funding,2025-05-21 11:00:22+00:00
NPR,He led George W. Bush's PEPFAR program to stop AIDS. Now he fears for its future,"Dr. Mark Dybul was an architect of PEPFAR, a program credited with saving 26 million lives. Now its future could be in jeopardy as Congress reviews the Trump administration's funding rescission memo.","About two decades ago, Namibia was one of the hardest-hit countries in the HIV/AIDS epidemic. More than one in three adults tested positive for HIV.
Dr. Mark Dybul remembers visiting a clinic in rur… [+5073 chars]",https://www.npr.org/sections/goats-and-soda/2025/06/06/g-s1-70995/hiv-aids-pepfar-bush,usaid funding,2025-06-06 20:14:17+00:00
Business Insider,Trump wants Congress to approve $9 billion in DOGE cuts — including more than $1 billion in cuts to PBS,An OMB spokesperson confirmed to Business Insider that the package will include $1.1 billion in cuts to the Corporation for Public Broadcasting.,"President Donald Trump wants Congress to approve a series of DOGE's cuts.Anna Moneymaker/Getty Images
<ul><li>The Trump administration is aiming for Congress to push through billions in DOGE spendin… [+2701 chars]",https://www.businessinsider.com/trump-congress-doge-spending-cuts-pbs-npr-rescissions-2025-5,usaid funding,2025-05-28 20:52:22+00:00
Time,How We Chose the TIME100 Most Influential People in Philanthropy 2025,"The new leaders in philanthropy, many of whom are accustomed to great success in their own fields, are eager to see impact and see it now.","In May, partners of the Gates Foundation gathered in Manhattan to announce that the organization would spend $200 billion over the next 20 years and then close its doors in 2045. Supporters, includin… [+3687 chars]",https://time.com/7286605/how-we-chose-time100-philanthropy-2025/,usaid funding,2025-05-20 11:30:05+00:00
Grist,Cuts to USAID severed longstanding American support for Indigenous peoples around the world,"Without U.S. funding, Indigenous communities in Peru and elsewhere face increasing threats to their land, livelihoods, and human rights.","This story was published in partnership with The Associated Press.
Miguel Guimaraes Vásquez fought for years to protect his homeland in the Peruvian Amazon from deforestation related to the cocaine … [+7870 chars]",http://grist.org/indigenous/cuts-to-usaid-severed-longstanding-american-support-for-indigenous-people-in-the-amazon/,usaid funding,2025-06-04 14:00:00+00:00
Business Insider,Google Search's AI era comes into focus,"Google Search is getting an AI-powered makeover, and the tech giant is launching a new tool for Hollywood.","Justin Sullivan/Getty
<ul><li>This post originally appeared in the Business Insider Today newsletter.</li><li>You can sign up for Business Insider's daily newsletter here.</li></ul>Good morning! We … [+7382 chars]",https://www.businessinsider.com/google-search-ai-mode-era-rivals-openai-anthropic-hollywood-2025-5,usaid funding,2025-05-21 13:15:14+00:00
Forbes,House Moves To Claw Back Money From Public Broadcasting And Foreign Aid,"The House is seeking to rescind $9.4 billion in funding for National Public Radio (NPR), the Public Broadcasting System (PBS), and the United States Agency for International Development (USAID) using a move known as rescission.","People participate in a rally to call on Congress to protect funding for US public broadcasters, Public Broadcasting Service (PBS) and National Public Radio (NPR), outside the NPR headquarters in Was… [+5942 chars]",https://www.forbes.com/sites/kellyphillipserb/2025/06/12/house-moves-to-claw-back-money-from-public-broadcasting-and-foreign-aid/,usaid funding,2025-06-12 14:06:37+00:00
Quartz India,Elon Musk fires back at Bill Gates over claim that DOGE cuts are 'killing' poor children,Elon Musk has hit back at Bill Gates’s claim that his cuts to the U.S. foreign aid budget will kill millions of children.Read more...,"In This Story
Elon Musk has hit back at Bill Gatess claim that his cuts to the U.S. foreign aid budget will kill millions of children.
Who does Bill Gates think he is to make comments about the wel… [+2693 chars]",https://qz.com/elon-musk-doge-usaid-bill-gates-hiv-aids-children-1851781687,usaid funding,2025-05-21 14:35:00+00:00
Time,History Shows the Danger of Trump and RFK Jr.’s Health Policies,The medical achievements of the 20th century demonstrate how global health infrastructure is key to public health.,"On May 11, 2023, President Joseph Biden ended the COVID-19 public health emergency, calling an finish to the pandemic. By the end of 2023, COVID-19 claimed the lives of over 20 million people around … [+6257 chars]",https://time.com/7286403/history-trump-rfk-jr-health-policies/,usaid funding,2025-06-11 18:37:04+00:00
Al Jazeera English,Why has Elon Musk quit Donald Trump’s administration?,Elon Musk steps down from his government efficiency role after clashing with Trump over US federal spending policies.,"Billionaire and Tesla chief Elon Musk has stepped down from his role as head of the Department of Government Efficiency (DOGE), in which he was charged with reducing federal spending, as he nears the… [+7833 chars]",https://www.aljazeera.com/news/2025/5/29/why-has-elon-musk-quit-donald-trumps-administration,usaid funding,2025-05-29 16:05:32+00:00
Forbes,Trump Is Trying To Defund An Agency That Saves Billions In Taxpayer Money,The White House wants to slash the $85 million budget to $0 for the inspector general’s office that focuses on investigating fraud in foreign aid.,"President Trump isn't just trying to get rid of USAID, he has plans to defund the agency that investigates the foreign aid department for fraud, waste and child abuse, among other crimes. (Photo by A… [+6789 chars]",https://www.forbes.com/sites/thomasbrewster/2025/06/13/trump-defunding-an-agency-saving-billions-in-taxpayer-money/,usaid funding,2025-06-13 18:05:21+00:00
Forbes,"Mt. Everest And AHF Celebrated At Explorers Club, Warts And All","With recent cuts to USAID, and dangerous over-crowding on the world’s highest peak, Nepal faces serious challenges. Two Everest experts answer questions about it.","Norbu Tenzing Norgay, left, and Conrad Anker, at The Explorers Club, New York, NY, May 29, 2025.
Jim Clash
Due to the abrupt cuts USAID, many organizations are suffering, trying to shore up new cas… [+4766 chars]",https://www.forbes.com/sites/jimclash/2025/06/06/mt-everest-and-ahf-celebrated-at-explorers-club-warts-and-all/,usaid funding,2025-06-06 23:05:04+00:00
Forbes,"House Approves Bill That Would Claw Back $9.4 Billion In Funding, Now Moves To Senate",The House of Representatives voted in favor of a bill to rescind $9.4 billion in funding for public broadcasting (including public radio and public TV) and international aid.,"WASHINGTON, DC - JUNE 9: The U.S, Capitol Building seen at dusk on June 9, 2025 in Washington, DC. (Photo by Kevin Carter/Getty Images)
Getty Images
As expected, the House of Representatives voted … [+4530 chars]",https://www.forbes.com/sites/kellyphillipserb/2025/06/13/house-approves-bill-that-would-claw-back-94-billion-in-funding-now-moves-to-senate/,usaid funding,2025-06-13 12:34:37+00:00
Snopes.com,"Debunking Vance, Rubio claim that only 12 cents per dollar of humanitarian assistance reaches beneficiaries","U.S. President Donald Trump's allies often cite false claims to support their dismantling of USAID, the United States' main humanitarian aid agency.","Claim:
People in need have received only 12 cents for every dollar the U.S. government has spent on humanitarian aid. 
On June 7, 2025, U.S. Vice President JD Vance claimed that for every dollar th… [+5646 chars]",https://www.snopes.com//fact-check/vance-rubio-humanitarian-assistance/,usaid funding,2025-06-11 21:12:00+00:00
CBS News,White House asks Congress to claw back $9.4 billion in approved funding,"The package would cancel $9.4 billion in funding that Congress previously appropriated for NPR, PBS and USAID.","Washington — The White House on Tuesday sent a formal request to Congress to claw back funding for NPR, PBS and international aid that lawmakers had previously approved. 
The package would cancel $9… [+3875 chars]",https://www.cbsnews.com/news/white-house-asks-congress-claw-back-funding-rescission-package/,usaid funding,2025-06-03 20:35:22+00:00
Democracy Now!,"""Millions of Lives at Risk"": USAID Cuts Lead to Global Rise in Death, Hunger, Poverty and Disease",Secretary of State Marco Rubio has ordered the termination of all remaining overseas employees of USAID to complete the dismantling of the six-decade-old agency. USAID was an early target of Elon Musk and DOGE. We look at the dismantling of USAID and what it …,"This is viewer supported news. Please do your part today.
Donate
Secretary of State Marco Rubio has ordered the termination of all remaining overseas employees of USAID to complete the dismantling … [+985 chars]",https://www.democracynow.org/2025/6/13/us_aid_cuts_international_impact,usaid funding,2025-06-13 12:45:15+00:00
Business Insider,Here's the $9.4 billion in DOGE cuts that Trump is asking Congress to approve,"The foreign aid and public broadcasting cuts could be the first of several ""rescission"" requests sent to Congress in the coming months.","For months, DOGE has been cutting federal spending without consulting Congress. Now, the White House is asking lawmakers to vote to make some of those cuts permanent.
President Donald Trump's Office… [+3469 chars]",https://www.businessinsider.com/doge-cuts-npr-pbs-foreign-aid-request-2025-6,usaid funding,2025-06-03 22:10:44+00:00
Gizmodo.com,‘KILL THE BILL’: Why Elon Musk Is Throwing a Fit Over the Budget,The billionaire oligarch isn't happy with Trump's Big Beautiful Bill.,Elon Musk has spent the past two days tweeting incessantly about the massive budget bill passed in the U.S. House and is currently being worked on in the Senate. The bill is a massive transfer of wea… [+6255 chars],https://gizmodo.com/kill-the-bill-why-elon-musk-is-throwing-a-fit-over-the-budget-2000611308,usaid funding,2025-06-05 12:35:32+00:00
Forbes,Federal Cuts Force Hiring and Raise Pauses At Johns Hopkins University,Johns Hopkins University has announced several belt-tightening measures to address the financial pressures caused by the Trump administration’s funding cutbacks.,"Johns Hopkins University announces four immediate cost containment measures in an attempt to ... More stabilize ts finances.
getty
The leadership of Johns Hopkins University announced on Monday tha… [+6053 chars]",https://www.forbes.com/sites/michaeltnietzel/2025/06/03/federal-cuts-force-hiring-and-raise-pauses-at-johns-hopkins-university/,usaid funding,2025-06-03 10:22:04+00:00
Yahoo Entertainment,"In Mali, USAID funding cuts hit a local language learning program that empowered thousands","For Aminata Doumbia, an 18-year-old Malian, the “Shifin ni Tagne” project was a path for her life dreams.  A phrase meaning “our future” in the country’s...","MOUNTOUGOULA, Mali (AP) For Aminata Doumbia, an 18-year-old Malian, the Shifin ni Tagne project was a path for her life dreams. A phrase meaning our future in the countrys main local language, it ref… [+5257 chars]",https://www.yahoo.com/news/mali-usaid-funding-cuts-hit-050407390.html,usaid funding,2025-05-21 05:04:07+00:00
Semafor.com,'He’s gotta go': The MAGA right cheers Musk-Trump rift,The MAGA right declares victory over a South African-born mogul they never trusted.,"The Scene
The Donald Trump-Elon Musk alliance ended like it started, 11 months ago: two of the worlds most influential men, on the social networks that they own, posting about each other.
But on Th… [+6308 chars]",https://www.semafor.com/article/06/05/2025/the-maga-right-declares-victory-over-elon-musk,usaid funding,2025-06-06 00:01:31+00:00
NBC News,White House to ask Congress to codify DOGE cuts to USAID and public broadcasting,"Congressional leaders are expecting the White House to send them a package as soon as Tuesday that would claw back $9.4 billion in approved spending, most of it for foreign aid.","WASHINGTON Congressional leaders are expecting the White House to send them a package as soon as Tuesday that would claw back $9.4 billion in approved spending, most of it for foreign aid.
The so-ca… [+3510 chars]",https://www.nbcnews.com/politics/congress/white-house-ask-congress-codify-doge-cuts-usaid-public-broadcasting-rcna210595,usaid funding,2025-06-03 14:46:38+00:00
Naturalnews.com,"Rubio terminates all USAID overseas positions, dismantling agency after decades of wasteful spending","Secretary Rubio orders termination of all USAID overseas positions by September, dismantling the agency after decades of operation. The State Department absorbs remaining programs after slashing 83% of USAID initiatives earlier this year. A State Department c…","<ul><li>Secretary Rubio orders termination of all USAID overseas positions by September, dismantling the agency after decades of operation.</li><li>The State Department absorbs remaining programs aft… [+4286 chars]",https://www.naturalnews.com/2025-06-11-rubio-terminates-usaid-overseas-positions.html,usaid funding,2025-06-11 06:00:00+00:00
Al Jazeera English,‘Disgusting abomination’: Why is Elon Musk slamming Trump’s budget bill?,"Musk's criticism underscores the divide among conservatives over the bill, which could ramp up US debt.","Billionaire Elon Musk has lashed out at United States President Donald Trumps budget bill, describing it as a disgusting abomination, less than a week after he left the administration and at a time w… [+5792 chars]",https://www.aljazeera.com/news/2025/6/4/disgusting-abomination-why-is-elon-musk-slamming-trumps-budget-bill,usaid funding,2025-06-04 12:17:32+00:00
CBS News,House to vote on White House request to claw back $9.4 billion in funding,"The House is expected to vote Thursday on White House's rescission package to claw back funding for NPR, PBS, foreign aid.","Washington — The House is expected to vote Thursdayon the White House's rescission package — its formal request to claw back funding for NPR, PBS and international aid that lawmakers had previously a… [+4486 chars]",https://www.cbsnews.com/news/house-vote-rescission-claw-back-9-4-billion-foreign-aid-npr-pbs/,usaid funding,2025-06-12 10:00:02+00:00
MSNBC,Why Senate Republicans might not let Trump give back $9.3 billion,"Trump's effort to codify DOGE cuts to via rescission package could be in trouble in the Senate as funding PBS, NPR, and USAID remains popular with some senators","Last week, House Republicans narrowly passed President Donald Trumps so-called rescissions package. The bill would rescind $9.3 billion in previously appropriated funding, including $1.1 billion from… [+4894 chars]",https://www.msnbc.com/opinion/msnbc-opinion/trump-doge-senate-rescission-bill-rcna212870,usaid funding,2025-06-16 10:00:00+00:00
