keyword,source,author,title,description,content,summary,full_text,publishedAt,url,language
usaid kenya,Givewell.org,Chandler Brotak,May 2025 Updates,Every month we send an email newsletter to our supporters sharing recent updates from our work. We publish selected portions of the newsletter on our blog to make this news more accessible to people who visit our website. For key updates from the latest insta…,Every month we send an email newsletter to our supporters sharing recent updates from our work. We publish selected portions of the newsletter on our blog to make this news more accessible to people … [+3507 chars],,,2025-05-19T19:26:41Z,https://blog.givewell.org/2025/05/19/may-2025-updates/,
usaid kenya,The Conversation Africa,"Lucy Xiaolu Wang, Assistant Professor, Department of Resource Economics, UMass Amherst, Nahim Bin Zahur, Assistant Professor of Economics, Queen's University, Ontario","When developing countries band together, lifesaving drugs become cheaper and easier to buy − with trade-offs",Pharmaceutical companies have little incentive to sell drugs to countries that can’t afford them. But bargaining together can increase access to vital treatments worldwide.,"Pooling procurement of drugs could increase the availability of essential treatments around the globe. narvo vexar/iStock via Getty Images Plus
Procuring lifesaving drugs is a daunting challenge in … [+8144 chars]",,,2025-06-17T12:34:40Z,https://theconversation.com/when-developing-countries-band-together-lifesaving-drugs-become-cheaper-and-easier-to-buy-with-trade-offs-255383,
usaid kenya,PBS,"William Brangham, Molly Knight Raskin",How USAID cuts are impacting the fight against HIV in Kenya,"The Trump administration's cuts to the U.S. Agency for International Development have had reverberations around the world. The agency, which operated in over 100 nations and employed thousands of people, has been virtually eliminated. In partnership with the …","The Trump administration's cuts to the U.S. Agency for International Development have had reverberations around the world. The agency, which operated in over 100 nations and employed thousands of peo… [+175 chars]",,,2025-06-12T22:25:28Z,https://www.pbs.org/newshour/show/how-usaid-cuts-are-impacting-the-fight-against-hiv-in-kenya,
usaid kenya,Chinadigitaltimes.net,Arthur Kaufman,"Polls Show Global Attitudes Towards China Improve, At Expense of U.S.",Numerous public opinion surveys from around the world have highlighted a significant shift in global attitudes towards China. Respondents from countries in both the Global South and Global North have expressed increasingly favorable views towards China and le…,Numerous public opinion surveys from around the world have highlighted a significant shift in global attitudes towards China. Respondents from countries in both the Global South and Global North have… [+7149 chars],,,2025-06-12T06:35:07Z,https://chinadigitaltimes.net/?p=704247,
usaid kenya,Africasacountry.com,Makena Maganjo,The end of AGOA,"On Wednesday, April 2, 2025, when President Donald Trump issued an executive order introducing reciprocal tariffs","A postmortem on the African Growth and Opportunities Act.



 
 
 Photo by Rosie Kerr on Unsplash
 
 





 
 On Wednesday, April 2, 2025, when President Donald Trump issued an executive order intro… [+10956 chars]",,,2025-06-09T15:29:13Z,https://africasacountry.com/2025/06/the-end-of-agoa/,
usaid kenya,The Irish Times,Martin Wall,"Concern Worldwide faces shutdown in some countries amid budget cuts, lost US funding",Irish international humanitarian agency says more jobs at risk,"Irish international aid agency Concern Worldwide has said that it will have to close its operations in some countries and introduce more staff redundancies as a result of budget cuts.
But it has sai… [+5025 chars]",,,2025-06-09T05:00:00Z,https://www.irishtimes.com/ireland/2025/06/09/concern-faces-shutdown-in-some-countries-amid-budget-cuts-and-lost-us-funding/,
usaid kenya,Thenation.com,"Steven Yoder, Felicia Mello, Alexandra Villarreal, Miles MacClure",How Trump Is Transforming Higher Education: The View from 4 Campuses,"Steven Yoder, Felicia Mello, Alexandra Villarreal, Miles MacClure



At universities in California, Illinois, Louisiana, and Texas, students report changes to clubs, diminished research opportunities, and fears for international students’ safety.




The po…","At universities in California, Illinois, Louisiana, and Texas, students report changes to clubs, diminished research opportunities, and fears for international students safety.
Ad Policy
People wal… [+27298 chars]",,,2025-06-15T08:45:00Z,https://www.thenation.com/article/society/trump-higher-education-california-illinois-louisiana-texas/,
usaid kenya,Africasacountry.com,Mebratu Kelecha,Between Washington and Beijing,"Amid Trump’s tariffs, Africa faces trade disruptions, corporate power, and emerging partnerships in its quest to control its economic destiny.","Amid Trump’s tariffs, Africa faces trade disruptions, corporate power, and emerging partnerships in its quest to control its economic destiny.



 
 
 Port of Lagos, Nigeria. Image © Oussama Obeid vi… [+21739 chars]",,,2025-06-04T12:14:54Z,https://africasacountry.com/2025/06/between-washington-and-beijing/,
usaid kenya,DW (English),Philipp Sandner,Tanzania's crackdown on activists tests East African relations,Opposition activists from Kenya allege that they were detained and tortured in neighboring Tanzania. Leaders there don’t seem to like that cross-border economic cooperation has extended to human rights solidarity. An unusual request from the Kenyan president …,"An unusual request from the Kenyan president caused a stir at the end of May. ""To our neighbors from Tanzania, if we have wronged you in any way, forgive us,"" William Ruto told a delegation of Tanzan… [+5091 chars]",,,2025-06-07T19:45:00Z,https://www.dw.com/en/tanzanias-crackdown-on-activists-tests-east-african-relations/a-72832572,
usaid kenya,DW (English),Jon Shelton,Bill Gates to give most of $200 billion fund to Africa,Bill Gates has urged African leaders to join him in advancing health and development on the continent. He says his foundation will partner with nations putting people's health first. US billionaire Bill Gates on Tuesday announced that the majority of his phil…,"US billionaire Bill Gates on Tuesday announced that the majority of his philanthropic Gates Foundation's $200 billion (175 billion) endowment will be spent in Africa over the next two decades.
Gates… [+4070 chars]",,,2025-06-03T07:09:00Z,https://www.dw.com/en/bill-gates-to-give-most-of-200-billion-fund-to-africa/a-72769394,
usaid kenya,Lse.ac.uk,Blog Team,Is the managed migration of health workers “ethics washing” or something more?,"Many countries across the world struggle with the emigration of health workers. But do frameworks for ethically managing healthcare worker emigration make a real difference? Tine Hanrieder and Leon Janauschek … Continued
The post Is the managed migration of h…",Many countries across the world struggle with the emigration of health workers. But do frameworks for ethically managing healthcare worker emigration make a real difference? Tine HanriederandLeon Jan… [+8539 chars],,,2025-06-16T08:31:59Z,https://blogs.lse.ac.uk/europpblog/2025/06/16/is-the-managed-migration-of-health-workers-ethics-washing-or-something-more/,
usaid kenya,Plos.org,PLOS Global Public Health,Reimagining Antimicrobial Resistance (AMR) financing for Africa amid global funding crises,"By guest contributors Sherin Paul and Mirfin Mpundu Antimicrobial Resistance (AMR), a silent pandemic, widens health inequalities in Africa by disproportionately affecting the…
The post Reimagining Antimicrobial Resistance (AMR) financing for Africa amid glob…","By guest contributors Sherin Paul and Mirfin Mpundu
Antimicrobial Resistance (AMR), a silent pandemic, widens health inequalities in Africa by disproportionately affecting the most vulnerable popula… [+8587 chars]",,,2025-06-05T20:02:02Z,https://speakingofmedicine.plos.org/2025/06/05/reimagining-antimicrobial-resistance-amr-financing-for-africa-amid-global-funding-crises/,
usaid kenya,TechCabal,Adonijah Ndege,Kenya plans to relocate health data from the US after USAID cuts,Kenya is preparing to move critical health data hosted in the United States following cuts to USAID funding by President Donald Trump.,Kenya is preparing to move critical health data currently hosted in the United States following President Donald Trump’s cuts to the United States Agency for International Development (USAID) funding… [+2866 chars],,,2025-06-02T10:53:32Z,https://techcabal.com/2025/06/02/kenya-health-data-usaid-trump-funding/,
usaid kenya,UN News,United Nations,"United Nations Selects Indigenous Social Worker from Canada, Kenyan Social Entrepreneur to Be Awarded 2025 UN Mandela Prize","The laureates of the 2025 United Nations Nelson Rolihlahla Mandela Prize are Brenda Reynolds, a social worker of Saulteaux heritage supporting the health and well-being of Indigenous communities in Canada, and Kennedy Odede, founder and CEO of Shining Hope fo…","The laureates of the 2025 United Nations Nelson Rolihlahla Mandela Prize are Brenda Reynolds, a social worker of Saulteaux heritage supporting the health and well-being of Indigenous communities in C… [+10472 chars]",,,2025-05-28T16:00:16Z,https://press.un.org/en/2025/pi2330.doc.htm,
usaid kenya,Plos.org,"Joseph K. B. Matovu, Martha Akulume, Fredrick Makumbi, Elena Lebetkin, Rhobbinah Ssempebwa, Patrick Komakech, Dieudonne Bidashimwa, Maria Carrasco, Rhoda K. Wanyenze",Stakeholders’ perspectives on the status of family planning integration into differentiated antiretroviral therapy service delivery models in Uganda: A qualitative assessment,"Introduction Facility- and community-based differentiated antiretroviral therapy service delivery models (DSDM) for stable patients can offer a convenient platform for integrating self-care-oriented family planning (FP) services into HIV care. However, little…","Abstract
Introduction
Facility- and community-based differentiated antiretroviral therapy service delivery models (DSDM) for stable patients can offer a convenient platform for integrating self-car… [+71973 chars]",,,2025-05-22T14:00:00Z,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0324616,
usaid kenya,Citizen.digital,Guest Writer,Moses Obimbo: How village curiosity inspired a global health advocate,"In the heart of Masana,  a small village in Western Kenya, a young, curious man listened to the silent cries of families in the forgotten homes where mothers had died due to excessive bleeding during childbirth.","In the heart of Masana,  a small village in Western Kenya, a young, curious man listened to the silent cries of families in the forgotten homes where mothers had died due to excessive bleeding during… [+9341 chars]",,,2025-06-12T15:27:17Z,https://www.citizen.digital/opinion-blogs/moses-obimbo-how-village-curiosity-inspired-a-global-health-advocate-n364518,
usaid kenya,Plos.org,"Bekahegn Girma, Lealem Dibku Sasahu, Azizur Rahman",Spatial distribution of stunting among breast feeding children in Sub-Sahara Africa,"Background Malnutrition is still a major global public health issue, especially in Sub-Saharan Africa (SSA), where millions of children suffer from stunting, a chronic form of the disease. In addition to limiting physical growth, stunting also impedes social …","Abstract
Background
Malnutrition is still a major global public health issue, especially in Sub-Saharan Africa (SSA), where millions of children suffer from stunting, a chronic form of the disease.… [+29854 chars]",,,2025-06-13T14:00:00Z,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0325812,
usaid kenya,Plos.org,"Liya E. Abera, Suman Jumani, Charles B. van Rees, Jagdish Krishnaswamy, Cydney K. Seigerman, Donald R. Nelson, Jonathan Hallemeier, Dawit W. Mulatu, Roshni Arora, María Paula Viscardo Sesma, Kalkidan Asnake, John Aliu, Anthonette Quayee, Soojeong Myeong, Marta Echevarria, Maegaret Stern, Anita van Breda, Missaka Hettiarachchi, Ana Christina Becerra, Annika Quick, S. Kyle McKay",Integrating Nature-based Solutions for urban water security in global south,Nature-based solutions (NbS) leverage the power of ecosystems and biodiversity to address societal challenges. NbS for addressing water security challenges in cities are widely recognized for accelerating sustainability and delivering multiple co-benefits. Ho…,"Abstract
Nature-based solutions (NbS) leverage the power of ecosystems and biodiversity to address societal challenges. NbS for addressing water security challenges in cities are widely recognized f… [+64118 chars]",,,2025-06-05T14:00:00Z,https://journals.plos.org/water/article?id=10.1371/journal.pwat.0000372,
usaid kenya,Inter Press Service,Oritro Karim,Funding Shortfalls Threaten Haiti’s Future,"The humanitarian situation in Haiti has deteriorated significantly in the recent weeks as rates of violence, hunger, and displacement soar amid a severe lack of funding. As armed gangs continue to seize more territory in the capital, Port-Au-Prince, as well a…","Climate Change, Crime &amp; Justice, Development &amp; Aid, Economy &amp; Trade, Food and Agriculture, Headlines, Health, Human Rights, Latin America &amp; the Caribbean, Migration &amp; Refugees, Te… [+6503 chars]",,,2025-05-29T09:45:24Z,https://www.ipsnews.net/2025/05/funding-shortfalls-threaten-haitis-future/,
usaid kenya,Inter Press Service,Jomo Kwame Sundaram and Nadia Malyanah Azman,Weaponizing Food Worsens Starvation,"Wars, economic shocks, planetary heating and aid cuts have worsened food crises in recent years, with almost 300 million people now threatened by starvation. Why hunger? World food production has increased almost fourfold since 1960. FAO statistics indicate e…","Armed Conflicts, Economy &amp; Trade, Environment, Food and Agriculture, Food Security and Nutrition, Food Sustainability, Food Systems, Global, Headlines, Inequality, Poverty &amp; SDGs, TerraViva U… [+5406 chars]",,,2025-06-17T06:21:39Z,https://www.ipsnews.net/2025/06/weaponizing-food-worsens-starvation/,
usaid funding,Yahoo Entertainment,Associated Press Videos,US aid kept many hungry Somali children alive. Now that money is disappearing,The U.S. Agency for International Development once provided 65% of Somalia’s foreign aid. Now that funding is disappearing. The money had been crucial in a...,The U.S. Agency for International Development once provided 65% of Somalias foreign aid. Now that funding is disappearing. The money had been crucial in a country described as having one of the world… [+161 chars],,,2025-05-27T03:01:23Z,https://www.yahoo.com/news/us-aid-kept-many-hungry-030123140.html,
usaid funding,Yahoo Entertainment,Eleanor Pringle,Elon Musk hits back at Bill Gates’ claim that DOGE cuts could lead to deaths of children: ‘I’d like him to show us any evidence’,Microsoft co-founder Bill Gates warned DOGE's cut to USAID could result in children's lives being endangered.,"<ul><li>Elon Musk rejected Bill Gates’s claim that the Department of Government Efficiency (DOGE) is endangering children’s lives by slashing USAID funding, calling Gates a liar and demanding evidenc… [+4209 chars]",,,2025-05-21T11:00:22Z,https://www.yahoo.com/news/elon-musk-hits-back-bill-110022996.html,
usaid funding,NPR,Melody Schreiber,He led George W. Bush's PEPFAR program to stop AIDS. Now he fears for its future,"Dr. Mark Dybul was an architect of PEPFAR, a program credited with saving 26 million lives. Now its future could be in jeopardy as Congress reviews the Trump administration's funding rescission memo.","About two decades ago, Namibia was one of the hardest-hit countries in the HIV/AIDS epidemic. More than one in three adults tested positive for HIV.
Dr. Mark Dybul remembers visiting a clinic in rur… [+5073 chars]",,,2025-06-06T20:14:17Z,https://www.npr.org/sections/goats-and-soda/2025/06/06/g-s1-70995/hiv-aids-pepfar-bush,
usaid funding,Business Insider,John L. Dorman,Trump wants Congress to approve $9 billion in DOGE cuts — including more than $1 billion in cuts to PBS,An OMB spokesperson confirmed to Business Insider that the package will include $1.1 billion in cuts to the Corporation for Public Broadcasting.,"President Donald Trump wants Congress to approve a series of DOGE's cuts.Anna Moneymaker/Getty Images
<ul><li>The Trump administration is aiming for Congress to push through billions in DOGE spendin… [+2701 chars]",,,2025-05-28T20:52:22Z,https://www.businessinsider.com/trump-congress-doge-spending-cuts-pbs-npr-rescissions-2025-5,
usaid funding,Time,Sam Jacobs,How We Chose the TIME100 Most Influential People in Philanthropy 2025,"The new leaders in philanthropy, many of whom are accustomed to great success in their own fields, are eager to see impact and see it now.","In May, partners of the Gates Foundation gathered in Manhattan to announce that the organization would spend $200 billion over the next 20 years and then close its doors in 2045. Supporters, includin… [+3687 chars]",,,2025-05-20T11:30:05Z,https://time.com/7286605/how-we-chose-time100-philanthropy-2025/,
usaid funding,Grist,"Graham Lee Brewer, The Associated Press",Cuts to USAID severed longstanding American support for Indigenous peoples around the world,"Without U.S. funding, Indigenous communities in Peru and elsewhere face increasing threats to their land, livelihoods, and human rights.","This story was published in partnership with The Associated Press.
Miguel Guimaraes Vásquez fought for years to protect his homeland in the Peruvian Amazon from deforestation related to the cocaine … [+7870 chars]",,,2025-06-04T14:00:00Z,http://grist.org/indigenous/cuts-to-usaid-severed-longstanding-american-support-for-indigenous-people-in-the-amazon/,
usaid funding,Business Insider,Dan DeFrancesco,Google Search's AI era comes into focus,"Google Search is getting an AI-powered makeover, and the tech giant is launching a new tool for Hollywood.","Justin Sullivan/Getty
<ul><li>This post originally appeared in the Business Insider Today newsletter.</li><li>You can sign up for Business Insider's daily newsletter here.</li></ul>Good morning! We … [+7382 chars]",,,2025-05-21T13:15:14Z,https://www.businessinsider.com/google-search-ai-mode-era-rivals-openai-anthropic-hollywood-2025-5,
usaid funding,Forbes,"Kelly Phillips Erb, Forbes Staff, 
 Kelly Phillips Erb, Forbes Staff
 https://www.forbes.com/sites/kellyphillipserb/",House Moves To Claw Back Money From Public Broadcasting And Foreign Aid,"The House is seeking to rescind $9.4 billion in funding for National Public Radio (NPR), the Public Broadcasting System (PBS), and the United States Agency for International Development (USAID) using a move known as rescission.","People participate in a rally to call on Congress to protect funding for US public broadcasters, Public Broadcasting Service (PBS) and National Public Radio (NPR), outside the NPR headquarters in Was… [+5942 chars]",,,2025-06-12T14:06:37Z,https://www.forbes.com/sites/kellyphillipserb/2025/06/12/house-moves-to-claw-back-money-from-public-broadcasting-and-foreign-aid/,
usaid funding,Al Jazeera English,Al Jazeera,Has DOGE really saved the US government $180bn?,"Elon Musk first claimed the department would make savings of $2 trillion, but what do the figures really show?",President Donald Trump and adviser Elon Musk celebrated their efforts to slash federal spending before Musk stepped away from his White House work. Musk wore a black DOGE hat over a bruised right eye… [+11355 chars],,,2025-06-06T11:21:51Z,https://www.aljazeera.com/news/2025/6/6/has-doge-really-saved-the-us-government-180bn,
usaid funding,Quartz India,Niamh Rowe,Elon Musk fires back at Bill Gates over claim that DOGE cuts are 'killing' poor children,Elon Musk has hit back at Bill Gates’s claim that his cuts to the U.S. foreign aid budget will kill millions of children.Read more...,"In This Story
Elon Musk has hit back at Bill Gatess claim that his cuts to the U.S. foreign aid budget will kill millions of children.
Who does Bill Gates think he is to make comments about the wel… [+2693 chars]",,,2025-05-21T14:35:00Z,https://qz.com/elon-musk-doge-usaid-bill-gates-hiv-aids-children-1851781687,
usaid funding,Time,Luke Jorgensen / Made by History,History Shows the Danger of Trump and RFK Jr.’s Health Policies,The medical achievements of the 20th century demonstrate how global health infrastructure is key to public health.,"On May 11, 2023, President Joseph Biden ended the COVID-19 public health emergency, calling an finish to the pandemic. By the end of 2023, COVID-19 claimed the lives of over 20 million people around … [+6257 chars]",,,2025-06-11T18:37:04Z,https://time.com/7286403/history-trump-rfk-jr-health-policies/,
usaid funding,Al Jazeera English,Usaid Siddiqui,Why has Elon Musk quit Donald Trump’s administration?,Elon Musk steps down from his government efficiency role after clashing with Trump over US federal spending policies.,"Billionaire and Tesla chief Elon Musk has stepped down from his role as head of the Department of Government Efficiency (DOGE), in which he was charged with reducing federal spending, as he nears the… [+7833 chars]",,,2025-05-29T16:05:32Z,https://www.aljazeera.com/news/2025/5/29/why-has-elon-musk-quit-donald-trumps-administration,
usaid funding,Forbes,"Thomas Brewster, Forbes Staff, 
 Thomas Brewster, Forbes Staff
 https://www.forbes.com/sites/thomasbrewster/",Trump Is Trying To Defund An Agency That Saves Billions In Taxpayer Money,The White House wants to slash the $85 million budget to $0 for the inspector general’s office that focuses on investigating fraud in foreign aid.,"President Trump isn't just trying to get rid of USAID, he has plans to defund the agency that investigates the foreign aid department for fraud, waste and child abuse, among other crimes. (Photo by A… [+6789 chars]",,,2025-06-13T18:05:21Z,https://www.forbes.com/sites/thomasbrewster/2025/06/13/trump-defunding-an-agency-saving-billions-in-taxpayer-money/,
usaid funding,Forbes,"Jim Clash, Contributor, 
 Jim Clash, Contributor
 https://www.forbes.com/sites/jimclash/","Mt. Everest And AHF Celebrated At Explorers Club, Warts And All","With recent cuts to USAID, and dangerous over-crowding on the world’s highest peak, Nepal faces serious challenges. Two Everest experts answer questions about it.","Norbu Tenzing Norgay, left, and Conrad Anker, at The Explorers Club, New York, NY, May 29, 2025.
Jim Clash
Due to the abrupt cuts USAID, many organizations are suffering, trying to shore up new cas… [+4766 chars]",,,2025-06-06T23:05:04Z,https://www.forbes.com/sites/jimclash/2025/06/06/mt-everest-and-ahf-celebrated-at-explorers-club-warts-and-all/,
usaid funding,Forbes,"Kelly Phillips Erb, Forbes Staff, 
 Kelly Phillips Erb, Forbes Staff
 https://www.forbes.com/sites/kellyphillipserb/","House Approves Bill That Would Claw Back $9.4 Billion In Funding, Now Moves To Senate",The House of Representatives voted in favor of a bill to rescind $9.4 billion in funding for public broadcasting (including public radio and public TV) and international aid.,"WASHINGTON, DC - JUNE 9: The U.S, Capitol Building seen at dusk on June 9, 2025 in Washington, DC. (Photo by Kevin Carter/Getty Images)
Getty Images
As expected, the House of Representatives voted … [+4530 chars]",,,2025-06-13T12:34:37Z,https://www.forbes.com/sites/kellyphillipserb/2025/06/13/house-approves-bill-that-would-claw-back-94-billion-in-funding-now-moves-to-senate/,
usaid funding,Snopes.com,Grace Deng,"Debunking Vance, Rubio claim that only 12 cents per dollar of humanitarian assistance reaches beneficiaries","U.S. President Donald Trump's allies often cite false claims to support their dismantling of USAID, the United States' main humanitarian aid agency.","Claim:
People in need have received only 12 cents for every dollar the U.S. government has spent on humanitarian aid. 
On June 7, 2025, U.S. Vice President JD Vance claimed that for every dollar th… [+5646 chars]",,,2025-06-11T21:12:00Z,https://www.snopes.com//fact-check/vance-rubio-humanitarian-assistance/,
usaid funding,CBS News,Kaia  Hubbard,White House asks Congress to claw back $9.4 billion in approved funding,"The package would cancel $9.4 billion in funding that Congress previously appropriated for NPR, PBS and USAID.","Washington — The White House on Tuesday sent a formal request to Congress to claw back funding for NPR, PBS and international aid that lawmakers had previously approved. 
The package would cancel $9… [+3875 chars]",,,2025-06-03T20:35:22Z,https://www.cbsnews.com/news/white-house-asks-congress-claw-back-funding-rescission-package/,
usaid funding,Democracy Now!,webdev@democracynow.org (Democracy Now!),"""Millions of Lives at Risk"": USAID Cuts Lead to Global Rise in Death, Hunger, Poverty and Disease",Secretary of State Marco Rubio has ordered the termination of all remaining overseas employees of USAID to complete the dismantling of the six-decade-old agency. USAID was an early target of Elon Musk and DOGE. We look at the dismantling of USAID and what it …,"This is viewer supported news. Please do your part today.
Donate
Secretary of State Marco Rubio has ordered the termination of all remaining overseas employees of USAID to complete the dismantling … [+985 chars]",,,2025-06-13T12:45:15Z,https://www.democracynow.org/2025/6/13/us_aid_cuts_international_impact,
usaid funding,Business Insider,bmetzger@insider.com (Bryan Metzger),Here's the $9.4 billion in DOGE cuts that Trump is asking Congress to approve,"The foreign aid and public broadcasting cuts could be the first of several ""rescission"" requests sent to Congress in the coming months.","For months, DOGE has been cutting federal spending without consulting Congress. Now, the White House is asking lawmakers to vote to make some of those cuts permanent.
President Donald Trump's Office… [+3469 chars]",,,2025-06-03T22:10:44Z,https://www.businessinsider.com/doge-cuts-npr-pbs-foreign-aid-request-2025-6,
usaid funding,Forbes,"Sverre Alvik, Contributor, 
 Sverre Alvik, Contributor
 https://www.forbes.com/sites/sverrealvik/","Africa Needs More Renewables, So Why Is It Investing In Fossil Fuels?",Sub-Saharan Africa has an energy funding deficit.,"LICHTENBURG, SOUTH AFRICA - MAY 8: A man is seen near the Selemela Solar Power Plant is one of the ... More largest solar power plants on the African continent that contributes to the country's energ… [+6626 chars]",,,2025-05-20T09:57:16Z,https://www.forbes.com/sites/sverrealvik/2025/05/20/africa-needs-more-renewables-so-why-is-it-investing-in-fossil-fuels/,
usaid funding,Gizmodo.com,Matt Novak,‘KILL THE BILL’: Why Elon Musk Is Throwing a Fit Over the Budget,The billionaire oligarch isn't happy with Trump's Big Beautiful Bill.,Elon Musk has spent the past two days tweeting incessantly about the massive budget bill passed in the U.S. House and is currently being worked on in the Senate. The bill is a massive transfer of wea… [+6255 chars],,,2025-06-05T12:35:32Z,https://gizmodo.com/kill-the-bill-why-elon-musk-is-throwing-a-fit-over-the-budget-2000611308,
